id,prefecture,exam,year,era,examType,subject,docType,title,sourceName,originalRelativePath,file,archivePath,bytes,school
2015-general-01-99,岡山県,高校入試,2015,H27,一般入試,国語,問題・解答,H27 一般入試 国語 問題・解答,H27_一般入試_国語_問題_解答.pdf,2015/一般入試/01_国語/H27_一般入試_国語_問題_解答.pdf,data/岡山県_高校入試問題/2015/一般入試/01_国語/H27_一般入試_国語_問題_解答.pdf,,5103813,岡山県
2015-general-02-99,岡山県,高校入試,2015,H27,一般入試,数学,問題・解答,H27 一般入試 数学 問題・解答,H27_一般入試_数学_問題_解答.pdf,2015/一般入試/02_数学/H27_一般入試_数学_問題_解答.pdf,data/岡山県_高校入試問題/2015/一般入試/02_数学/H27_一般入試_数学_問題_解答.pdf,,2949298,岡山県
2015-general-03-99,岡山県,高校入試,2015,H27,一般入試,英語,問題・解答,H27 一般入試 英語 問題・解答,H27_一般入試_英語_問題_解答.pdf,2015/一般入試/03_英語/H27_一般入試_英語_問題_解答.pdf,data/岡山県_高校入試問題/2015/一般入試/03_英語/H27_一般入試_英語_問題_解答.pdf,,6485415,岡山県
2015-general-04-99,岡山県,高校入試,2015,H27,一般入試,理科,問題・解答,H27 一般入試 理科 問題・解答,H27_一般入試_理科_問題_解答.pdf,2015/一般入試/04_理科/H27_一般入試_理科_問題_解答.pdf,data/岡山県_高校入試問題/2015/一般入試/04_理科/H27_一般入試_理科_問題_解答.pdf,,5850339,岡山県
2015-general-05-99,岡山県,高校入試,2015,H27,一般入試,社会,問題・解答,H27 一般入試 社会 問題・解答,H27_一般入試_社会_問題_解答.pdf,2015/一般入試/05_社会/H27_一般入試_社会_問題_解答.pdf,data/岡山県_高校入試問題/2015/一般入試/05_社会/H27_一般入試_社会_問題_解答.pdf,,5524938,岡山県
2015-general-99-99,岡山県,高校入試,2015,H27,一般入試,その他,その他,H27 一般入試 その他 その他,H27_一般入試_その他_その他.pdf,2015/一般入試/99_その他/H27_一般入試_その他_その他.pdf,data/岡山県_高校入試問題/2015/一般入試/99_その他/H27_一般入試_その他_その他.pdf,,354768,岡山県
2015-special-01-99,岡山県,高校入試,2015,H27,特別入試,国語,問題・解答,H27 特別入試 国語 問題・解答,H27_特別入試_国語_問題_解答.pdf,2015/特別入試/01_国語/H27_特別入試_国語_問題_解答.pdf,data/岡山県_高校入試問題/2015/特別入試/01_国語/H27_特別入試_国語_問題_解答.pdf,,4455688,岡山県
2015-special-02-99,岡山県,高校入試,2015,H27,特別入試,数学,問題・解答,H27 特別入試 数学 問題・解答,H27_特別入試_数学_問題_解答.pdf,2015/特別入試/02_数学/H27_特別入試_数学_問題_解答.pdf,data/岡山県_高校入試問題/2015/特別入試/02_数学/H27_特別入試_数学_問題_解答.pdf,,3126173,岡山県
2015-special-03-99,岡山県,高校入試,2015,H27,特別入試,英語,問題・解答,H27 特別入試 英語 問題・解答,H27_特別入試_英語_問題_解答.pdf,2015/特別入試/03_英語/H27_特別入試_英語_問題_解答.pdf,data/岡山県_高校入試問題/2015/特別入試/03_英語/H27_特別入試_英語_問題_解答.pdf,,6386262,岡山県
2015-special-90-90,岡山県,高校入試,2015,H27,特別入試,配点表,配点表,H27 特別入試 配点表 配点表,H27_特別入試_配点表_配点表.pdf,2015/特別入試/90_配点表/H27_特別入試_配点表_配点表.pdf,data/岡山県_高校入試問題/2015/特別入試/90_配点表/H27_特別入試_配点表_配点表.pdf,,286394,岡山県
2016-general-01-99,岡山県,高校入試,2016,H28,一般入試,国語,問題,H28 一般入試 国語 問題,H28_一般入試_国語_問題.pdf,2016/一般入試/01_国語/H28_一般入試_国語_問題.pdf,data/岡山県_高校入試問題/2016/一般入試/01_国語/H28_一般入試_国語_問題.pdf,,3530685,岡山県
2016-general-02-99,岡山県,高校入試,2016,H28,一般入試,数学,問題,H28 一般入試 数学 問題,H28_一般入試_数学_問題.pdf,2016/一般入試/02_数学/H28_一般入試_数学_問題.pdf,data/岡山県_高校入試問題/2016/一般入試/02_数学/H28_一般入試_数学_問題.pdf,,1847266,岡山県
2016-general-02-99,岡山県,高校入試,2016,H28,一般入試,数学,解答,H28 一般入試 数学 解答,H28_一般入試_数学_解答.pdf,2016/一般入試/02_数学/H28_一般入試_数学_解答.pdf,data/岡山県_高校入試問題/2016/一般入試/02_数学/H28_一般入試_数学_解答.pdf,,1212559,岡山県
2016-general-03-99,岡山県,高校入試,2016,H28,一般入試,英語,問題,H28 一般入試 英語 問題,H28_一般入試_英語_問題.pdf,2016/一般入試/03_英語/H28_一般入試_英語_問題.pdf,data/岡山県_高校入試問題/2016/一般入試/03_英語/H28_一般入試_英語_問題.pdf,,2444305,岡山県
2016-general-03-99,岡山県,高校入試,2016,H28,一般入試,英語,解答,H28 一般入試 英語 解答,H28_一般入試_英語_解答.pdf,2016/一般入試/03_英語/H28_一般入試_英語_解答.pdf,data/岡山県_高校入試問題/2016/一般入試/03_英語/H28_一般入試_英語_解答.pdf,,3475530,岡山県
2016-general-04-99,岡山県,高校入試,2016,H28,一般入試,理科,問題,H28 一般入試 理科 問題,H28_一般入試_理科_問題.pdf,2016/一般入試/04_理科/H28_一般入試_理科_問題.pdf,data/岡山県_高校入試問題/2016/一般入試/04_理科/H28_一般入試_理科_問題.pdf,,3254622,岡山県
2016-general-04-99,岡山県,高校入試,2016,H28,一般入試,理科,解答,H28 一般入試 理科 解答,H28_一般入試_理科_解答.pdf,2016/一般入試/04_理科/H28_一般入試_理科_解答.pdf,data/岡山県_高校入試問題/2016/一般入試/04_理科/H28_一般入試_理科_解答.pdf,,2839547,岡山県
2016-general-05-99,岡山県,高校入試,2016,H28,一般入試,社会,問題,H28 一般入試 社会 問題,H28_一般入試_社会_問題.pdf,2016/一般入試/05_社会/H28_一般入試_社会_問題.pdf,data/岡山県_高校入試問題/2016/一般入試/05_社会/H28_一般入試_社会_問題.pdf,,3267603,岡山県
2016-general-05-99,岡山県,高校入試,2016,H28,一般入試,社会,解答,H28 一般入試 社会 解答,H28_一般入試_社会_解答.pdf,2016/一般入試/05_社会/H28_一般入試_社会_解答.pdf,data/岡山県_高校入試問題/2016/一般入試/05_社会/H28_一般入試_社会_解答.pdf,,2344839,岡山県
2016-general-90-90,岡山県,高校入試,2016,H28,一般入試,配点表,配点表,H28 一般入試 配点表 配点表,H28_一般入試_配点表_配点表.pdf,2016/一般入試/90_配点表/H28_一般入試_配点表_配点表.pdf,data/岡山県_高校入試問題/2016/一般入試/90_配点表/H28_一般入試_配点表_配点表.pdf,,288197,岡山県
2016-special-01-99,岡山県,高校入試,2016,H28,特別入試,国語,問題,H28 特別入試 国語 問題,H28_特別入試_国語_問題.pdf,2016/特別入試/01_国語/H28_特別入試_国語_問題.pdf,data/岡山県_高校入試問題/2016/特別入試/01_国語/H28_特別入試_国語_問題.pdf,,3213483,岡山県
2016-special-01-99,岡山県,高校入試,2016,H28,特別入試,国語,解答,H28 特別入試 国語 解答,H28_特別入試_国語_解答.pdf,2016/特別入試/01_国語/H28_特別入試_国語_解答.pdf,data/岡山県_高校入試問題/2016/特別入試/01_国語/H28_特別入試_国語_解答.pdf,,1090629,岡山県
2016-special-02-99,岡山県,高校入試,2016,H28,特別入試,数学,問題,H28 特別入試 数学 問題,H28_特別入試_数学_問題.pdf,2016/特別入試/02_数学/H28_特別入試_数学_問題.pdf,data/岡山県_高校入試問題/2016/特別入試/02_数学/H28_特別入試_数学_問題.pdf,,1672053,岡山県
2016-special-02-99,岡山県,高校入試,2016,H28,特別入試,数学,解答,H28 特別入試 数学 解答,H28_特別入試_数学_解答.pdf,2016/特別入試/02_数学/H28_特別入試_数学_解答.pdf,data/岡山県_高校入試問題/2016/特別入試/02_数学/H28_特別入試_数学_解答.pdf,,1241064,岡山県
2016-special-03-99,岡山県,高校入試,2016,H28,特別入試,英語,問題,H28 特別入試 英語 問題,H28_特別入試_英語_問題.pdf,2016/特別入試/03_英語/H28_特別入試_英語_問題.pdf,data/岡山県_高校入試問題/2016/特別入試/03_英語/H28_特別入試_英語_問題.pdf,,2618763,岡山県
2016-special-03-99,岡山県,高校入試,2016,H28,特別入試,英語,解答,H28 特別入試 英語 解答,H28_特別入試_英語_解答.pdf,2016/特別入試/03_英語/H28_特別入試_英語_解答.pdf,data/岡山県_高校入試問題/2016/特別入試/03_英語/H28_特別入試_英語_解答.pdf,,3451629,岡山県
2016-special-90-90,岡山県,高校入試,2016,H28,特別入試,配点表,配点表,H28 特別入試 配点表 配点表,H28_特別入試_配点表_配点表.pdf,2016/特別入試/90_配点表/H28_特別入試_配点表_配点表.pdf,data/岡山県_高校入試問題/2016/特別入試/90_配点表/H28_特別入試_配点表_配点表.pdf,,222585,岡山県
2017-general-01-99,岡山県,高校入試,2017,H29,一般入試,国語,問題,H29 一般入試 国語 問題,H29_一般入試_国語_問題.pdf,2017/一般入試/01_国語/H29_一般入試_国語_問題.pdf,data/岡山県_高校入試問題/2017/一般入試/01_国語/H29_一般入試_国語_問題.pdf,,3560765,岡山県
2017-general-02-99,岡山県,高校入試,2017,H29,一般入試,数学,問題,H29 一般入試 数学 問題,H29_一般入試_数学_問題.pdf,2017/一般入試/02_数学/H29_一般入試_数学_問題.pdf,data/岡山県_高校入試問題/2017/一般入試/02_数学/H29_一般入試_数学_問題.pdf,,1860642,岡山県
2017-general-02-99,岡山県,高校入試,2017,H29,一般入試,数学,解答,H29 一般入試 数学 解答,H29_一般入試_数学_解答.pdf,2017/一般入試/02_数学/H29_一般入試_数学_解答.pdf,data/岡山県_高校入試問題/2017/一般入試/02_数学/H29_一般入試_数学_解答.pdf,,1316588,岡山県
2017-general-03-99,岡山県,高校入試,2017,H29,一般入試,英語,問題,H29 一般入試 英語 問題,H29_一般入試_英語_問題.pdf,2017/一般入試/03_英語/H29_一般入試_英語_問題.pdf,data/岡山県_高校入試問題/2017/一般入試/03_英語/H29_一般入試_英語_問題.pdf,,2442188,岡山県
2017-general-03-99,岡山県,高校入試,2017,H29,一般入試,英語,解答,H29 一般入試 英語 解答,H29_一般入試_英語_解答.pdf,2017/一般入試/03_英語/H29_一般入試_英語_解答.pdf,data/岡山県_高校入試問題/2017/一般入試/03_英語/H29_一般入試_英語_解答.pdf,,3600135,岡山県
